Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player▲-additional
1,Precious Achiuwa,25,NYK,PF,11,1,214,13.7,.495,.204,.306,14.6,26.5,20.8,8.8,1.9,4.0,17.8,13.9,0.1,0.3,0.5,.101,-1.6,0.1,-1.5,0.0,,achiupr01
2,Steven Adams,31,HOU,C,19,0,198,12.7,.560,.000,.871,17.0,22.3,19.6,14.6,1.2,1.8,32.9,13.3,0.0,0.4,0.4,.089,-2.1,1.3,-0.8,0.1,,adamsst01
3,Bam Adebayo,27,MIA,C,30,30,1047,17.1,.518,.195,.309,7.7,23.2,15.5,21.1,2.0,2.4,12.1,22.3,0.8,1.7,2.5,.116,-0.2,1.2,1.0,0.8,,adebaba01
4,Ochai Agbaji,24,TOR,SG,32,30,962,11.9,.609,.460,.091,3.3,11.2,7.2,8.7,1.4,1.5,8.1,13.8,1.2,0.3,1.5,.076,-0.6,-0.3,-0.9,0.3,,agbajoc01
5,Santi Aldama,24,MEM,PF,31,11,797,18.2,.611,.447,.138,6.4,22.5,14.7,15.5,1.6,1.9,10.3,18.3,1.6,1.4,3.0,.182,2.8,1.3,4.1,1.2,,aldamsa01
6,Trey Alexander,21,DEN,SG,10,0,48,0.9,.349,.500,.167,0.0,2.2,1.1,7.3,0.0,1.9,7.2,12.2,-0.1,0.0,-0.1,-0.071,-6.9,-2.5,-9.4,-0.1,,alexatr01
7,Nickeil Alexander-Walker,26,MIN,SG,31,2,725,13.4,.635,.570,.159,2.7,10.3,6.5,16.1,1.8,1.2,15.5,16.3,0.9,0.9,1.8,.121,-0.3,1.1,0.8,0.5,,alexani01
8,Grayson Allen,29,PHO,SG,23,1,550,13.2,.585,.727,.273,3.3,11.6,7.5,11.0,1.8,1.2,10.5,18.4,0.6,0.3,0.9,.076,0.0,-1.2,-1.2,0.1,,allengr01
9,Jarrett Allen,26,CLE,C,31,31,909,21.1,.711,.004,.436,8.8,28.4,18.9,8.6,1.7,2.4,10.5,15.3,2.9,1.6,4.4,.234,2.4,0.8,3.1,1.2,,allenja01
10,Jose Alvarado,26,NOP,PG,11,7,282,14.2,.544,.594,.168,2.2,7.3,4.6,25.6,2.9,1.0,11.4,18.2,0.4,0.1,0.4,.075,-0.3,-0.4,-0.7,0.1,,alvarjo01
