Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player▲-additional
1,Precious Achiuwa,25,NYK,PF,11,1,19.5,2.0,4.5,.449,0.3,0.9,.300,1.7,3.5,.487,.480,0.7,1.4,.533,2.4,4.6,7.0,1.4,0.7,0.8,1.1,1.4,5.0,,achiupr01
2,Steven Adams,31,HOU,C,18,0,10.3,0.9,1.6,.607,0.0,0.0,,0.9,1.6,.607,.607,0.6,1.5,.370,1.6,2.1,3.7,1.1,0.3,0.2,1.2,1.1,2.4,,adamsst01
3,Bam Adebayo,27,MIA,C,29,29,34.9,6.2,13.8,.454,0.8,2.7,.291,5.4,11.0,.494,.482,3.0,4.2,.719,2.4,7.5,9.9,4.8,1.4,0.9,2.1,2.1,16.3,,adebaba01
4,Ochai Agbaji,24,TOR,SG,31,29,30.5,4.6,9.0,.516,1.7,4.1,.417,2.9,4.9,.599,.611,0.5,0.8,.654,0.9,3.1,4.0,1.8,0.9,0.5,0.8,2.3,11.5,,agbajoc01
5,Santi Aldama,24,MEM,PF,31,11,25.7,5.1,10.0,.508,1.7,4.5,.388,3.4,5.5,.605,.595,1.1,1.4,.767,1.5,5.7,7.3,3.0,0.9,0.5,1.2,1.0,13.0,,aldamsa01
6,Trey Alexander,21,DEN,SG,10,0,4.8,0.3,1.2,.250,0.1,0.6,.167,0.2,0.6,.333,.292,0.2,0.2,1.000,0.0,0.1,0.1,0.3,0.0,0.1,0.1,0.3,0.9,,alexatr01
7,Nickeil Alexander-Walker,26,MIN,SG,30,2,23.6,3.5,7.0,.498,1.7,3.9,.432,1.8,3.0,.582,.620,0.9,1.1,.765,0.6,2.2,2.8,2.5,0.9,0.3,1.3,1.6,9.5,,alexani01
8,Grayson Allen,29,PHO,SG,23,1,23.9,3.2,8.0,.404,2.2,5.8,.376,1.0,2.2,.480,.541,1.8,2.2,.840,0.7,2.5,3.2,1.8,0.9,0.3,1.0,1.5,10.4,,allengr01
9,Jarrett Allen,26,CLE,C,31,31,29.3,5.4,7.8,.687,0.0,0.0,.000,5.4,7.8,.690,.687,2.5,3.4,.736,2.3,7.7,10.0,1.9,1.0,0.8,1.1,1.2,13.3,,allenja01
10,Jose Alvarado,26,NOP,PG,11,7,25.6,3.6,9.2,.396,2.2,5.5,.400,1.5,3.7,.390,.515,1.3,1.5,.824,0.5,1.6,2.2,4.5,1.5,0.3,1.3,2.4,10.7,,alvarjo01
11,Kyle Anderson,31,GSW,PF,26,2,14.5,2.0,4.7,.415,0.6,1.6,.357,1.4,3.1,.444,.476,0.5,0.8,.650,0.6,2.4,3.0,2.2,0.8,0.5,0.5,1.1,5.0,,anderky01
12,Giannis Antetokounmpo,30,MIL,PF,24,24,35.0,12.8,20.9,.613,0.2,0.8,.222,12.6,20.1,.627,.617,7.0,11.3,.614,2.0,9.6,11.6,6.0,0.7,1.5,3.4,2.3,32.7,,antetgi01
13,Cole Anthony,24,ORL,PG,30,0,11.7,2.2,5.5,.396,0.7,2.2,.299,1.5,3.2,.464,.457,1.1,1.4,.780,0.4,1.8,2.2,2.2,0.4,0.2,1.5,1.6,6.1,,anthoco01
14,OG Anunoby,27,NYK,PF,32,32,36.4,6.2,13.1,.475,2.1,5.9,.351,4.2,7.2,.576,.554,1.8,2.3,.795,1.2,3.8,5.0,2.0,1.5,1.0,1.3,2.5,16.3,,anunoog01
15,Deni Avdija,24,POR,SF,31,13,26.6,4.3,9.7,.447,1.4,4.0,.358,2.9,5.7,.508,.520,3.2,4.1,.781,1.3,4.5,5.8,3.2,0.9,0.7,2.1,2.2,13.3,,avdijde01
16,Deandre Ayton,26,POR,C,22,22,30.5,6.9,12.2,.561,0.3,1.1,.250,6.6,11.1,.592,.572,0.8,1.3,.643,3.0,7.4,10.4,1.4,1.0,1.0,1.7,2.4,14.8,,aytonde01
17,Marvin Bagley III,25,WAS,C,19,1,8.7,2.0,3.7,.535,0.1,0.5,.200,1.9,3.2,.590,.549,0.8,1.2,.652,1.4,1.5,2.9,0.4,0.4,0.3,0.6,0.6,4.9,,baglema01
18,Patrick Baldwin Jr.,22,WAS,SF,13,0,4.5,0.8,1.5,.500,0.4,0.8,.455,0.4,0.7,.556,.625,0.2,0.3,.500,0.2,0.7,0.9,0.1,0.2,0.2,0.2,0.3,2.1,,baldwpa01
19,LaMelo Ball,23,CHO,PG,22,22,33.7,10.5,24.6,.425,4.5,13.0,.346,6.0,11.6,.514,.517,4.7,5.5,.844,0.9,4.5,5.3,7.4,1.3,0.2,4.1,3.7,30.1,,ballla01
20,Lonzo Ball,27,CHI,PG,13,0,17.6,1.8,5.3,.333,1.4,4.4,.316,0.4,0.9,.417,.464,0.5,0.5,1.000,0.3,2.8,3.1,3.5,1.1,0.5,1.1,1.3,5.5,,balllo01
21,Mo Bamba,26,LAC,C,16,0,12.8,1.4,3.6,.397,0.4,1.7,.222,1.1,1.9,.548,.448,0.6,0.8,.692,0.7,3.1,3.8,0.7,0.5,1.2,0.6,2.1,3.8,,bambamo01
22,Paolo Banchero,22,ORL,PF,5,5,36.4,9.6,19.4,.495,2.2,6.4,.344,7.4,13.0,.569,.552,7.6,11.8,.644,2.4,6.4,8.8,5.6,0.6,0.8,2.2,2.6,29.0,,banchpa01
23,Desmond Bane,26,MEM,SG,24,23,28.2,5.7,12.3,.463,2.0,5.7,.353,3.7,6.7,.556,.544,2.0,2.3,.857,0.8,5.0,5.8,4.8,1.2,0.5,2.2,2.6,15.4,,banede01
24,Dalano Banton,25,POR,PG,25,0,16.5,3.4,8.1,.421,1.2,3.5,.356,2.2,4.6,.470,.498,1.5,2.2,.661,0.4,1.9,2.2,2.6,0.9,0.5,1.7,1.1,9.5,,bantoda01
25,Dominick Barlow,21,ATL,SF,3,0,5.3,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.7,1.3,,barlodo01
26,Harrison Barnes,32,SAS,PF,31,31,27.5,3.4,7.3,.467,1.4,3.4,.400,2.0,3.9,.525,.560,2.1,2.7,.786,1.5,2.3,3.8,1.5,0.3,0.2,0.7,0.8,10.3,,barneha02
27,Scottie Barnes,23,TOR,PF,18,18,34.0,7.4,16.4,.449,1.7,5.9,.283,5.7,10.6,.542,.500,3.6,4.9,.727,1.8,5.9,7.8,7.2,1.3,0.7,3.5,2.4,20.0,,barnesc01
28,RJ Barrett,24,TOR,SG,26,26,34.3,8.6,18.7,.461,2.0,5.6,.349,6.7,13.1,.509,.513,4.5,6.2,.725,1.0,5.8,6.8,6.3,0.7,0.4,3.4,2.5,23.7,,barrerj01
29,Charles Bassey,24,SAS,C,20,0,11.0,2.2,3.8,.573,0.0,0.0,,2.2,3.8,.573,.573,0.7,1.2,.565,1.6,2.8,4.4,0.5,0.4,1.1,0.8,1.4,5.0,,bassech01
30,Jamison Battle,23,TOR,SF,28,0,14.0,2.1,4.4,.476,1.4,3.3,.419,0.7,1.1,.645,.633,0.4,0.5,.857,0.6,1.4,1.9,1.0,0.1,0.1,0.4,1.2,6.0,,battlja01
31,Nicolas Batum,36,LAC,PF,31,1,18.5,1.2,3.1,.385,1.0,2.5,.385,0.2,0.6,.389,.542,0.3,0.4,.769,0.7,2.1,2.8,1.6,0.5,0.5,0.5,1.4,3.7,,batumni01
32,Bradley Beal,31,PHO,SG,21,21,34.4,7.4,15.0,.494,2.3,6.0,.389,5.1,9.0,.563,.571,1.8,2.3,.771,0.8,3.1,3.9,3.1,1.2,0.8,2.3,2.8,19.0,,bealbr01
33,Malik Beasley,28,DET,SG,32,8,28.2,5.8,13.5,.434,3.9,9.3,.418,1.9,4.1,.470,.579,1.1,1.5,.708,0.6,2.5,3.0,1.9,0.8,0.1,1.0,1.3,16.7,,beaslma01
34,MarJon Beauchamp,24,MIL,SF,14,0,3.8,0.6,1.6,.409,0.2,0.8,.273,0.4,0.8,.545,.477,0.4,0.4,.833,0.1,0.8,0.9,0.1,0.1,0.0,0.8,0.3,1.9,,beaucma01
35,Reece Beekman,23,2TM,PG,6,0,3.8,0.2,0.7,.250,0.0,0.3,.000,0.2,0.3,.500,.250,0.0,0.0,,0.2,0.0,0.2,0.3,0.2,0.0,0.3,0.5,0.3,,beekmre01
36,Goga Bitadze,25,ORL,C,28,25,24.4,4.1,6.3,.648,0.0,0.5,.077,4.0,5.8,.693,.651,1.4,1.9,.755,3.0,5.4,8.4,2.0,0.9,1.7,1.5,2.5,9.6,,bitadgo01
37,Anthony Black,21,ORL,PG,33,3,24.0,3.0,7.2,.412,0.6,2.4,.266,2.3,4.8,.484,.456,1.9,2.6,.753,0.6,2.1,2.7,3.5,0.9,0.7,2.2,2.3,8.5,,blackan01
38,Bogdan Bogdanović,32,ATL,SG,14,0,25.4,3.9,9.5,.406,2.1,6.4,.337,1.7,3.1,.545,.519,1.4,1.5,.952,0.6,2.5,3.1,2.2,0.9,0.3,1.8,2.6,11.3,,bogdabo01
39,Bol Bol,25,PHO,PF,7,0,5.3,1.3,2.1,.600,0.1,0.7,.200,1.1,1.4,.800,.633,0.6,0.9,.667,0.6,1.0,1.6,0.1,0.0,0.0,0.4,0.1,3.3,,bolbo01
40,Adem Bona,21,PHI,C,15,0,6.8,0.6,0.9,.643,0.0,0.0,,0.6,0.9,.643,.643,0.4,0.5,.857,0.6,1.2,1.8,0.1,0.0,0.4,0.4,1.1,1.6,,bonaad01
41,Devin Booker,28,PHO,SG,26,26,36.6,8.0,18.2,.439,2.7,7.7,.345,5.3,10.5,.507,.512,6.5,7.2,.899,1.2,2.5,3.7,6.4,1.1,0.3,2.3,2.2,25.1,,bookede01
